,precision,recall,f1-score,support
þola,1.0,0.8571428571428571,0.9230769230769231,7.0
þúsund,0.0,0.0,0.0,0.0
vestr,0.0,0.0,0.0,0.0
uppi,0.0,0.0,0.0,0.0
þakka,0.25,0.3333333333333333,0.2857142857142857,3.0
rísa,0.0,0.0,0.0,0.0
hjarta,0.0,0.0,0.0,0.0
nauðsyn,0.0,0.0,0.0,0.0
lýðr,0.0,0.0,0.0,0.0
ingolfr,0.0,0.0,0.0,0.0
þorgrímr,0.0,0.0,0.0,0.0
kaup,0.8333333333333334,1.0,0.9090909090909091,5.0
ábrott,0.0,0.0,0.0,0.0
brandr,0.0,0.0,0.0,0.0
reiða,0.5,0.5,0.5,6.0
gripr,0.0,0.0,0.0,0.0
svíþjóð,0.0,0.0,0.0,0.0
eilífr,0.0,0.0,0.0,0.0
herja,0.0,0.0,0.0,0.0
banna,0.2,0.25,0.2222222222222222,4.0
bíta,0.2727272727272727,0.75,0.4,4.0
eyjolfr,0.0,0.0,0.0,0.0
fagna,0.6666666666666666,1.0,0.8,4.0
fǫr,0.5,0.3333333333333333,0.4,3.0
hertogi,0.0,0.0,0.0,0.0
gǽta,0.0,0.0,0.0,0.0
meirr,0.0,0.0,0.0,3.0
2,0.0,0.0,0.0,12.0
ǫnd,1.0,0.3333333333333333,0.5,3.0
yðarr,0.1111111111111111,0.07142857142857142,0.08695652173913043,14.0
hvergi,0.0,0.0,0.0,0.0
steðja,0.0,0.0,0.0,0.0
forn,0.0,0.0,0.0,0.0
tǿma,0.0,0.0,0.0,0.0
sárr,1.0,0.5,0.6666666666666666,2.0
ígegnum,0.0,0.0,0.0,0.0
varr,0.75,0.8571428571428571,0.8,7.0
már,0.0,0.0,0.0,0.0
nótt,1.0,0.07142857142857142,0.13333333333333333,14.0
stela,0.0,0.0,0.0,0.0
tal,0.5,0.25,0.3333333333333333,4.0
dýrð,0.0,0.0,0.0,0.0
óðinn,0.0,0.0,0.0,0.0
vinátta,0.0,0.0,0.0,0.0
skorta,0.0,0.0,0.0,0.0
blóð,0.0,0.0,0.0,0.0
hlýða,0.0,0.0,0.0,0.0
safna,0.0,0.0,0.0,0.0
líkamr,0.8571428571428571,1.0,0.9230769230769231,6.0
fella,0.0,0.0,0.0,2.0
enda,0.3076923076923077,0.4,0.34782608695652173,10.0
øx,0.0,0.0,0.0,0.0
leyna,0.0,0.0,0.0,0.0
herbúð,0.0,0.0,0.0,0.0
hamingja,0.0,0.0,0.0,0.0
óspakr,1.0,1.0,1.0,10.0
dyrr,0.0,0.0,0.0,0.0
sváat,0.0,0.0,0.0,0.0
ǫlvir,0.0,0.0,0.0,0.0
unna,0.0,0.0,0.0,1.0
vǽnta,0.0,0.0,0.0,0.0
gifta,0.5,0.5,0.5,2.0
helga,0.375,0.2727272727272727,0.3157894736842105,11.0
festa,0.5714285714285714,1.0,0.7272727272727273,4.0
ljósta,0.5384615384615384,1.0,0.7,7.0
elska,0.0,0.0,0.0,0.0
þorgils,0.0,0.0,0.0,0.0
gyðingr,0.0,0.0,0.0,0.0
frétta,0.5,0.5,0.5,4.0
frǽgð,0.0,0.0,0.0,0.0
þórdís,0.0,0.0,0.0,0.0
aeneas,0.0,0.0,0.0,0.0
þora,1.0,0.5,0.6666666666666666,6.0
þrǽll,0.0,0.0,0.0,0.0
